ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
720.0000000622031,66.71257815425444,0.3274622823739749,10.0,20.0,29.9,5.0
617.1428571961741,66.71257815425444,0.2247186181837882,15.0,20.0,29.9,5.0
617.1428571961741,66.71257815425444,0.225154350818558,20.0,15.0,5.0,29.9
720.0000000622031,66.71257815425444,0.3378006813029565,20.0,10.0,5.0,29.9
540.0000000466522,66.71252268454971,0.4785658461852143,20.0,20.0,21.6,29.9
540.0000000466522,66.71252268454971,0.4776734404249804,20.0,20.0,29.9,21.6
2160.0000001866088,66.66666666666683,0.4180324092175163,5.0,5.0,13.3,21.6
2160.0000001866088,66.66666666666683,0.4173541127895889,5.0,5.0,21.6,13.3
2160.0000001866088,66.66666666666681,0.4398741723503029,5.0,5.0,13.3,13.3
1080.0000000933044,66.66666666666679,0.3197366001810358,15.0,5.0,5.0,13.3
1440.0000001244061,66.66666666666679,0.3875294108365776,10.0,5.0,5.0,13.3
1080.0000000933044,66.66666666666679,0.3336462720525964,5.0,15.0,13.3,5.0
1440.0000001244061,66.66666666666679,0.3876945964524243,5.0,10.0,13.3,5.0
2160.0000001866088,66.66666666666674,0.3845845129808464,5.0,5.0,29.9,21.6
2160.0000001866088,66.66666666666674,0.3846727268328666,5.0,5.0,21.6,29.9
864.0000000746437,66.66666666666671,0.4270717420088781,5.0,20.0,29.9,5.0
2160.0000001866088,66.66666666666671,0.164993071572523,5.0,5.0,5.0,29.9
2160.0000001866088,66.66666666666671,0.1747894333088802,5.0,5.0,29.9,5.0
864.0000000746437,66.66666666666671,0.4266604506627314,20.0,5.0,5.0,29.9
1440.0000001244061,66.6666666666667,0.2913256862550265,10.0,5.0,5.0,29.9
1080.0000000933044,66.6666666666667,0.383878581584883,5.0,15.0,29.9,5.0
1080.0000000933044,66.6666666666667,0.3891847144953723,15.0,5.0,5.0,29.9
1440.0000001244061,66.6666666666667,0.2855827186182812,5.0,10.0,29.9,5.0
1440.0000001244061,66.66666666666669,0.1945307761545728,10.0,5.0,5.0,5.0
1440.0000001244061,66.66666666666669,0.1945740719193654,5.0,10.0,5.0,5.0
1080.0000000933044,66.66666666666669,0.1851573437288099,15.0,5.0,5.0,5.0
1080.0000000933044,66.66666666666669,0.1858776394540725,5.0,15.0,5.0,5.0
2160.0000001866088,66.66666666666667,0.4018960889680138,5.0,5.0,13.3,29.9
2160.0000001866088,66.66666666666667,0.3687916003411864,5.0,5.0,29.9,29.9
2160.0000001866088,66.66666666666667,0.401052877204549,5.0,5.0,29.9,13.3
864.0000000746437,66.66666666666664,0.2905893219583167,20.0,5.0,5.0,13.3
2160.0000001866088,66.66666666666664,0.26341243414664,5.0,5.0,13.3,5.0
864.0000000746437,66.66666666666664,0.2924834273226928,5.0,20.0,13.3,5.0
2160.0000001866088,66.66666666666664,0.2656531220536406,5.0,5.0,5.0,13.3
864.0000000746437,66.6666666666666,0.1973126841102713,5.0,20.0,5.0,5.0
864.0000000746437,66.6666666666666,0.1962831829518853,20.0,5.0,5.0,5.0
864.0000000746437,66.6666666666666,0.4028016573303233,5.0,20.0,21.6,5.0
2160.0000001866088,66.6666666666666,0.2003716742188688,5.0,5.0,5.0,21.6
2160.0000001866088,66.6666666666666,0.520166590433509,5.0,5.0,5.0,5.0
864.0000000746437,66.6666666666666,0.4004007802744478,20.0,5.0,5.0,21.6
2160.0000001866088,66.6666666666666,0.1953459623483935,5.0,5.0,21.6,5.0
1080.0000000933044,66.66666666666625,0.3989967627384063,5.0,15.0,21.6,5.0
1080.0000000933044,66.66666666666625,0.3990653458313075,15.0,5.0,5.0,21.6
1440.0000001244061,66.66666666666622,0.4029509780189021,10.0,5.0,5.0,21.6
1440.0000001244061,66.66666666666622,0.4029021046576859,5.0,10.0,21.6,5.0
2160.0000001866088,66.66666666666615,0.400836293048542,5.0,5.0,21.6,21.6
720.0000000622031,64.59588413023799,0.3237873715163655,15.0,15.0,5.0,13.3
720.0000000622031,64.59588413023799,0.3194302072576238,15.0,15.0,13.3,5.0
720.0000000622031,63.753112405452846,0.1964066879716782,15.0,15.0,21.6,5.0
720.0000000622031,63.75311240545284,0.1976503947728773,15.0,15.0,5.0,21.6
864.0000000746437,63.75290223718642,0.5065436022200425,10.0,15.0,13.3,5.0
1080.0000000933044,63.75290223718642,0.2668127573869168,10.0,10.0,5.0,13.3
864.0000000746437,63.75290223718642,0.1738762358943746,15.0,10.0,13.3,5.0
1080.0000000933044,63.75290223718642,0.2612980586839647,10.0,10.0,13.3,5.0
864.0000000746437,63.75290223718642,0.1757637589874123,10.0,15.0,5.0,13.3
864.0000000746437,63.75290223718642,0.5071178818852982,15.0,10.0,5.0,13.3
864.0000000746437,63.74546317747675,0.3066665264691679,10.0,15.0,21.6,5.0
1080.0000000933044,63.74546317747675,0.1751049733976989,10.0,10.0,21.6,5.0
